date,year,month,min_cfs,max_cfs,mean_cfs
2010-02,2010,02,350.0,520.0,426.60714285714283
2010-03,2010,03,440.0,830.0,669.4516129032259
2010-04,2010,04,542.0,1880.0,880.4666666666667
2010-05,2010,05,374.0,716.0,520.6129032258065
2010-06,2010,06,681.0,8350.0,4286.066666666667
2010-07,2010,07,1270.0,4540.0,2294.8387096774195
2010-08,2010,08,593.0,1380.0,893.9354838709677
2010-09,2010,09,408.0,796.0,528.6666666666666
2010-10,2010,10,408.0,665.0,519.6774193548387
2010-11,2010,11,328.0,807.0,593.3666666666667
2010-12,2010,12,400.0,500.0,455.3225806451613
2011-01,2011,01,380.0,490.0,441.93548387096774
2011-02,2011,02,400.0,480.0,440.57142857142856
2011-03,2011,03,452.0,1070.0,700.4193548387096
2011-04,2011,04,860.0,1800.0,1241.0666666666666
2011-05,2011,05,689.0,3590.0,2142.967741935484
2011-06,2011,06,2310.0,10900.0,6466.333333333333
2011-07,2011,07,3510.0,13000.0,8608.709677419354
2011-08,2011,08,1090.0,3450.0,1968.0645161290322
2011-09,2011,09,581.0,1070.0,802.8
2011-10,2011,10,592.0,937.0,748.0967741935484
2011-11,2011,11,520.0,870.0,708.2
2011-12,2011,12,380.0,560.0,416.5806451612903
2012-01,2012,01,390.0,460.0,420.64516129032256
2012-02,2012,02,420.0,560.0,474.2758620689655
2012-03,2012,03,450.0,1450.0,892.258064516129
2012-04,2012,04,1100.0,2520.0,1546.6666666666667
2012-05,2012,05,963.0,3730.0,2160.4193548387098
2012-06,2012,06,1800.0,6550.0,3394.3333333333335
2012-07,2012,07,1150.0,2050.0,1577.4193548387098
2012-08,2012,08,422.0,1090.0,615.1612903225806
2012-09,2012,09,355.0,464.0,399.5
2012-10,2012,10,390.0,666.0,470.06451612903226
2012-11,2012,11,446.0,658.0,570.8
2012-12,2012,12,360.0,641.0,517.9677419354839
2013-01,2013,01,310.0,400.0,347.5483870967742
2013-02,2013,02,320.0,450.0,378.14285714285717
2013-03,2013,03,410.0,881.0,636.5806451612904
2013-04,2013,04,569.0,1090.0,779.7666666666667
2013-05,2013,05,676.0,3800.0,1727.0645161290322
2013-06,2013,06,900.0,3030.0,1602.4666666666667
